,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/load/3,/win32/load/0,/win32/load/1,/win32/data2/0,/win32/data2/1,/win32/iops/0,/win32/iops/1,/win32/iops/2,/DirectX/comment/0,/DirectX/comment/1,/DirectX/fps/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory","CPU Usage(Process)","CPU Usage(Global)","Working Set","Page file Usage","Read Ops","Write Ops","Other Ops","Process Id","DirectX Version","FPS(Present)"
03/17/2015 17:55:55,20.3125,6.25,14.0625,20.3125,15.234375,45,40,40,48,52,4400.00146,4400.00146,4400.00146,4400.00146,41.26635,31.641655,0,6.421595,100.000038,40.20049,12.83337,19.0900459,37,1570,1177.031,3505.50024,2354.062,5,6,0,36,29.0164,12.8472223,15.9722223,698,934,81,70,0,14916,9,31.0378265
03/17/2015 17:55:56,14.0625,9.375,24.810606,9.526211,14.4435768,41,39,44,46,46,4399.99756,4399.99756,4399.99756,4399.99756,40.9766,30.8929138,0,6.347021,99.99994,40.2006454,12.83342,19.0899963,37,1568,950.0095,3505.50024,1900.019,4,5,0,36,29.0164,12.109375,14.453125,696,933,62,62,0,14916,9,30.03876
03/17/2015 17:55:57,12.5,15.625,12.5,18.75,14.84375,43,40,51,40,51,4399.99658,4399.99658,4399.99658,4399.99658,43.1959343,33.1316566,0,6.428604,99.99992,40.18827,12.8294678,19.0939484,37,1567,950.0095,3505.50024,1900.019,5,6,0,36,29.0164,10.984848,14.393939,695,933,73,62,0,14916,9,29.6367111
03/17/2015 17:55:58,7.8125,6.25,14.0625,25,13.28125,42,41,52,41,52,4399.99658,4399.99658,4399.99658,4399.99658,42.970047,33.01937,0,6.448026,99.99992,40.1888542,12.8296547,19.0937614,37,1568,950.0095,3505.50024,1900.019,4,6,0,36,29.0164,11.328125,13.671875,695,934,67,64,0,14916,9,30.03876
03/17/2015 17:55:58,10.9375,6.25,21.875,21.875,15.234375,42,39,46,48,48,4399.99561,4399.99561,4399.99561,4399.99561,44.1823654,34.1521,0,6.44539547,99.9999,40.18149,12.8273048,19.0961113,37,1570,950.0095,3505.50024,1900.019,5,6,0,36,29.0164,10.9375,15.234375,693,934,73,62,0,14916,9,30.03876
03/17/2015 17:55:59,10.6060619,4.54545,18.1818123,19.6969681,13.257575,50,42,44,40,50,4399.99854,4399.99854,4399.99854,4399.99854,40.2241173,30.14535,0,6.428876,99.99997,40.1815262,12.8273163,19.0961,37,1571,950.0095,3505.50024,1900.019,5,6,0,36,29.0164,10.227273,13.257576,693,934,60,60,0,14916,9,30.0678959
03/17/2015 17:55:59,23.5294113,14.7058849,8.823532,10.2941151,14.3382368,51,40,52,40,52,4399.99561,4399.99561,4399.99561,4399.99561,38.9325371,29.1847858,0,6.31114435,99.9999,40.1768875,12.8258362,19.09758,37,1572,950.0095,3505.50024,1900.019,4,6,0,36,29.0164,11.742424,14.393939,692,934,80,66,0,14916,9,30.0678959
03/17/2015 17:56:00,16.6666622,9.090912,16.6666622,22.7272758,16.2878819,51,40,42,39,50,4399.99951,4399.99951,4399.99951,4399.99951,43.1965,33.39354,0,6.359876,99.99999,40.1754837,12.825386,19.09803,37,1570,950.0095,3505.50024,1900.019,4,6,0,36,29.0164,12.890625,16.40625,691,934,70,62,0,14916,9,30.0678959
03/17/2015 17:56:01,14.0625,6.20265,17.1875,21.875,14.831913,43,40,43,40,43,4399.99951,4399.99951,4399.99951,4399.99951,37.6933,27.7711411,0,6.25104427,99.99999,40.1697464,12.823555,19.0998611,37,1567,950.0095,3505.50024,1900.019,4,6,0,36,29.0164,11.71875,14.84375,690,935,66,60,0,14916,9,30.0678959
03/17/2015 17:56:01,14.0625,3.125,20.3125,15.9778233,13.3694534,40,39,44,47,48,4399.99854,4399.99854,4399.99854,4399.99854,36.9493752,27.2464561,0,6.27641726,99.99996,40.1708336,12.8239021,19.099514,37,1566,950.0095,3505.50024,1900.019,4,6,0,36,29.0164,11.328125,13.28125,690,935,67,62,0,14916,9,29.52756
03/17/2015 17:56:02,29.6875,9.375,18.75,21.4488621,19.8153381,51,42,44,40,52,4400,4400,4400,4400,39.7835464,30.11849,0,6.339023,100.000008,40.1667824,12.8226089,19.1008072,37,1565,950.0095,3505.50024,1900.019,4,6,0,36,29.0164,10.984848,20.833334,690,935,66,60,0,14916,9,29.52756
03/17/2015 17:56:03,14.0625,6.25,12.5,23.4375,14.0625,41,39,40,47,51,4400,4400,4400,4400,38.3219147,28.52083,0,6.34635735,100.000008,40.1697464,12.823555,19.0998611,37,1565,950.0095,3505.50024,1900.019,4,6,0,36,29.0164,10.227273,13.257576,690,935,69,62,0,14916,9,30.0678959
03/17/2015 17:56:03,17.1875,7.8125,9.425402,17.1875,12.9032249,41,40,42,41,41,4399.999,4399.999,4399.999,4399.999,38.67202,28.6754589,0,6.196129,99.99998,40.1848831,12.8283882,19.0950279,37,1565,950.0095,3505.50024,1900.019,4,6,0,36,29.0164,9.803922,12.9411764,689,936,64,58,0,14916,9,30.03876
03/17/2015 17:56:04,11.0383034,1.61290169,17.14015,15.7258034,11.37929,41,38,47,39,47,4399.995,4399.995,4399.995,4399.995,37.08484,27.1360359,0,6.275684,99.9998856,40.1972046,12.8323212,19.091095,37,1567,950.0095,3505.50024,1900.019,4,6,0,36,29.0164,8.560311,11.2840471,695,943,69,64,0,14916,9,30.03876
03/17/2015 17:56:04,13.8257561,10.8428,15.625,17.1875,14.3702621,40,40,43,39,43,4399.99658,4399.99658,4399.99658,4399.99658,38.86326,28.87942,0,6.274413,99.99992,40.1912422,12.8304176,19.0929985,37,1565,950.0095,3505.50024,1900.019,5,6,0,36,29.0164,11.328125,14.453125,695,943,68,62,0,14916,9,29.55665
03/17/2015 17:56:05,7.8125,0,0,1.5625,2.34375,40,38,39,35,40,4399.99658,4399.99658,4399.99658,4399.99658,20.6568966,11.8094864,0,4.348146,99.99992,40.20257,12.834034,19.0893822,37,1565,950.0095,3505.50024,1900.019,0,2,0,36,29.0221214,0,2.34375,695,943,2,2,0,14916,9,29.55665
03/17/2015 17:56:06,10.9375,3.125,12.5,14.0625,10.15625,41,40,42,39,42,4399.997,4399.997,4399.997,4399.997,36.1208839,26.0089951,0,5.06855249,99.99994,40.19526,12.8316994,19.0917168,37,1568,950.0095,3505.50024,1900.019,1,3,0,36,29.0267,0,10.15625,694,943,0,0,0,14916,9,29.55665
03/17/2015 17:56:07,6.25,3.125,4.6875,3.125,4.296875,40,38,45,39,45,4399.997,4399.997,4399.997,4399.997,23.68225,14.3049746,0,4.49364138,99.99994,40.19305,12.8309937,19.0924225,37,1570,950.0095,3505.50024,1900.019,0,2,0,36,29.0207863,0,4.296875,694,943,0,0,0,14916,9,29.55665
03/17/2015 17:56:07,3.125,4.6875,6.25,9.375,5.859375,39,38,41,38,41,4399.99854,4399.99854,4399.99854,4399.99854,31.13919,21.158514,0,5.05374861,99.99996,40.1929054,12.8309479,19.0924683,37,1568,950.0095,3505.50024,1900.019,1,3,0,36,29.0221214,0,5.859375,694,943,2,2,0,14916,9,29.55665
03/17/2015 17:56:08,1.5625,0,1.5625,3.125,1.5625,39,38,39,36,39,4399.997,4399.997,4399.997,4399.997,23.51989,13.4845047,0,4.384075,99.99993,40.19146,12.8304863,19.09293,37,1569,950.0095,3505.50024,1900.019,1,2,0,36,29.0235519,0,1.5625,694,943,0,0,0,14916,9,29.55665
03/17/2015 17:56:08,3.125,0,1.5625,3.125,1.953125,40,37,39,36,40,4399.996,4399.996,4399.996,4399.996,23.1163578,13.5789452,0,4.443843,99.99991,40.19146,12.8304863,19.09293,37,1571,950.0095,3505.50024,1900.019,0,2,0,36,29.0235519,0,1.953125,694,943,2,2,0,14916,9,29.55665
03/17/2015 17:56:09,3.125,0,3.125,3.125,2.34375,39,38,39,37,39,4399.996,4399.996,4399.996,4399.996,21.4223442,12.0937624,0,4.489636,99.99991,40.187252,12.8291435,19.0942726,37,1568,950.0095,3505.50024,1900.019,1,2,0,36,29.0235519,0,2.34375,694,943,0,0,0,14916,9,29.55665
03/17/2015 17:56:09,0,3.125,1.5625,1.5625,1.5625,39,37,38,37,39,4399.99756,4399.99756,4399.99756,4399.99756,23.8274288,14.5394859,0,4.49291754,99.99994,40.1907539,12.8302612,19.0931549,37,1567,950.0095,3505.50024,1900.019,0,2,0,36,29.03347,0,1.5625,694,943,2,2,0,14916,9,29.55665
03/17/2015 17:56:10,1.5625,0,0,3.125,1.171875,39,37,39,37,39,4399.99756,4399.99756,4399.99756,4399.99756,21.0325813,11.6905327,0,4.355765,99.99995,40.1901436,12.8300667,19.09335,37,1565,950.0095,3505.50024,1900.019,1,2,0,36,29.03347,0,1.171875,694,943,2,2,0,14916,9,29.55665
