,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0,/ram/load/0,/ram/data/0,/ram/data/1,/nvidiagpu/0/temperature/0,/nvidiagpu/0/fan/0,/nvidiagpu/0/clock/0,/nvidiagpu/0/clock/1,/nvidiagpu/0/clock/2,/nvidiagpu/0/load/0,/nvidiagpu/0/load/1,/nvidiagpu/0/load/2,/nvidiagpu/0/control/0,/nvidiagpu/0/load/3,/win32/load/0,/win32/load/1,/win32/data2/0,/win32/data2/1,/win32/iops/0,/win32/iops/1,/win32/iops/2,/DirectX/comment/0,/DirectX/comment/1,/DirectX/fps/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed","Memory","Used Memory","Available Memory","GPU Core","GPU","GPU Core","GPU Memory","GPU Shader","GPU Core","GPU Memory Controller","GPU Video Engine","GPU Fan","GPU Memory","CPU Usage(Process)","CPU Usage(Global)","Working Set","Page file Usage","Read Ops","Write Ops","Other Ops","Process Id","DirectX Version","FPS(Present)"
03/17/2015 15:37:17,18.75,7.8125,6.25,14.0625,11.71875,43,42,46,53,53,4399.99951,4399.99951,4399.99951,4399.99951,40.54791,30.5831833,0,6.40837336,99.9999847,41.9815,13.4019279,18.5214882,40,1571,1177.031,3505.50024,2354.062,5,6,0,41,31.7840576,11.7845116,13.1313133,723,926,79,68,1,13608,9,31.0378265
03/17/2015 15:37:18,23.4375,4.6875,4.5928,15.625,12.0857,50,48,47,47,52,4399.996,4399.996,4399.996,4399.996,41.2778969,31.220438,0,6.422857,99.99991,41.9673843,13.3974228,18.5259933,40,1568,950.0095,3505.50024,1900.019,5,6,0,41,31.7840576,10.15625,12.109375,720,926,63,60,0,13608,9,30.0678959
03/17/2015 15:37:19,15.625,12.5,7.8125,14.0625,12.5,45,42,45,46,46,4399.996,4399.996,4399.996,4399.996,42.8128624,32.625473,0,6.544781,99.99991,41.9517174,13.3924217,18.5309944,40,1567,950.0095,3505.50024,1900.019,5,6,0,41,31.7840576,8.203125,12.5,716,926,61,60,0,13608,9,30.0678959
03/17/2015 15:37:20,17.1875,9.375,10.9375,21.875,14.84375,53,47,45,44,53,4399.99756,4399.99756,4399.99756,4399.99756,42.73783,32.7424049,0,6.438139,99.99995,41.945076,13.3903008,18.5331154,40,1570,950.0095,3505.50024,1900.019,5,7,0,41,31.7806244,10.15625,14.84375,713,927,63,60,0,13608,9,30.03876
03/17/2015 15:37:21,25,12.5,9.375,26.5625,18.359375,55,46,51,49,55,4400.003,4400.003,4400.003,4400.003,46.4259567,36.1782341,0,6.496706,100.000069,41.9440346,13.3899689,18.5334473,40,1572,950.0095,3505.50024,1900.019,5,6,0,41,31.7727089,12.5,18.560606,714,928,74,62,0,13608,9,30.0678959
03/17/2015 15:37:21,17.1875,4.6875,12.5,17.1875,12.890625,44,45,48,52,54,4400.003,4400.003,4400.003,4400.003,42.8430977,32.7335663,0,6.43628359,100.000069,41.93518,13.3871422,18.536274,40,1571,950.0095,3505.50024,1900.019,5,6,0,41,31.7727089,11.3970585,13.2352943,711,928,68,64,0,13608,9,30.0678959
03/17/2015 15:37:22,10.9375,18.75,17.1875,21.875,17.1875,48,44,53,46,53,4400.003,4400.003,4400.003,4400.003,46.889843,36.9654274,0,6.61918354,100.000069,41.96073,13.395298,18.5281181,40,1571,950.0095,3505.50024,1900.019,5,6,0,41,31.7727089,12.109375,17.1875,719,936,63,60,0,13608,9,30.0678959
03/17/2015 15:37:23,20.3125,10.9375,3.17540169,25,14.85635,42,47,46,47,47,4399.997,4399.997,4399.997,4399.997,41.212,31.2932,0,6.371228,99.99993,41.95983,13.3950119,18.5284042,40,1570,950.0095,3505.50024,1900.019,5,7,0,41,31.7727089,12.109375,14.84375,719,936,72,62,0,13608,9,29.6084042
03/17/2015 15:37:24,18.75,9.375,17.1875,10.9375,14.0625,44,44,47,46,49,4400.001,4400.001,4400.001,4400.001,41.8337631,31.7105637,0,6.40243769,100.000023,41.9532738,13.3929176,18.5304985,40,1571,950.0095,3505.50024,1900.019,5,7,0,41,31.7720413,12.890625,14.0625,718,936,73,62,0,13608,9,30.0678959
